epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4224,1.42996,3.13793,1.60764,0.00557,0.84667,0.11842,0.07088,1.15637,3.43112,1.48239,2.858e-05,2.858e-05,2.858e-05
2,40.389,1.48054,3.1394,1.65073,0.00604,0.87333,0.20928,0.14186,0.99106,3.36395,1.32124,6.90921e-05,6.90921e-05,6.90921e-05
3,59.5416,1.0073,2.8796,1.33875,0.0064,0.89333,0.31168,0.21601,0.89649,3.33602,1.24065,0.000106775,0.000106775,0.000106775
